team1_name,team2_name,over_bowled,Run_Scored,Wickets_fallen,Inning_Runs
Afghanistan,West Indies,5,11,1,194
Afghanistan,West Indies,10,26,2,194
Afghanistan,West Indies,15,53,2,194
Afghanistan,West Indies,20,86,2,194
Afghanistan,West Indies,25,117,2,194
Afghanistan,West Indies,30,133,4,194
Afghanistan,West Indies,35,158,5,194
Afghanistan,West Indies,40,176,6,194
Afghanistan,West Indies,45,194,9,194
Afghanistan,West Indies,50,194,10,194
West Indies,Afghanistan,5,30,0,247
West Indies,Afghanistan,10,45,0,247
West Indies,Afghanistan,15,60,0,247
West Indies,Afghanistan,20,81,0,247
West Indies,Afghanistan,25,99,1,247
West Indies,Afghanistan,30,120,2,247
West Indies,Afghanistan,35,137,3,247
West Indies,Afghanistan,40,161,5,247
West Indies,Afghanistan,45,202,6,247
West Indies,Afghanistan,50,247,9,247
India,New Zealand,5,25,1,296
India,New Zealand,10,56,2,296
India,New Zealand,15,77,3,296
India,New Zealand,20,100,3,296
India,New Zealand,25,127,3,296
India,New Zealand,30,161,3,296
India,New Zealand,35,188,4,296
India,New Zealand,40,217,4,296
India,New Zealand,45,254,4,296
India,New Zealand,50,296,7,296
Zimbabwe,Netherlands,5,18,0,290
Zimbabwe,Netherlands,10,34,1,290
Zimbabwe,Netherlands,15,55,2,290
Zimbabwe,Netherlands,20,81,2,290
Zimbabwe,Netherlands,25,119,2,290
Zimbabwe,Netherlands,30,149,4,290
Zimbabwe,Netherlands,35,181,4,290
Zimbabwe,Netherlands,40,213,4,290
Zimbabwe,Netherlands,45,235,6,290
Zimbabwe,Netherlands,50,290,6,290
Afghanistan,West Indies,5,20,1,249
Afghanistan,West Indies,10,45,2,249
Afghanistan,West Indies,15,59,2,249
Afghanistan,West Indies,20,75,4,249
Afghanistan,West Indies,25,102,4,249
Afghanistan,West Indies,30,121,5,249
Afghanistan,West Indies,35,141,5,249
Afghanistan,West Indies,40,162,5,249
Afghanistan,West Indies,45,195,5,249
Afghanistan,West Indies,50,249,7,249
New Zealand,India,5,17,0,273
New Zealand,India,10,52,0,273
New Zealand,India,15,83,0,273
New Zealand,India,20,108,1,273
New Zealand,India,25,133,1,273
New Zealand,India,30,159,3,273
New Zealand,India,35,176,5,273
New Zealand,India,40,195,7,273
New Zealand,India,45,220,8,273
New Zealand,India,50,273,8,273
India,New Zealand,5,26,0,347
India,New Zealand,10,55,2,347
India,New Zealand,15,79,2,347
India,New Zealand,20,107,2,347
India,New Zealand,25,134,2,347
India,New Zealand,30,162,3,347
India,New Zealand,35,199,3,347
India,New Zealand,40,251,3,347
India,New Zealand,45,291,3,347
India,New Zealand,50,347,4,347
South Africa,England,5,16,0,256
South Africa,England,10,36,1,256
South Africa,England,15,60,1,256
South Africa,England,20,88,1,256
